image_hash,pixel_mean_r,pixel_mean_g,pixel_mean_b,pixel_std_r,pixel_std_g,pixel_std_b,predicted_label
f42267a1b149c0fcb90afeb44095d069,56.518,91.6105,153.2929,52.8298,35.0606,38.6893,cat
3c83b6c4b0f4b87b9512c5265a2c7863,109.5871,91.6038,62.7124,39.1881,38.7643,37.7518,cat
f4eb6aef3d9cb823cca3e1529baa03f3,121.4316,112.8675,102.7114,78.1849,74.1745,66.2099,cat
e93248bf4d2385f7c27e78e1038201eb,114.7265,109.866,104.6676,57.1027,60.9727,65.1451,cat
9f95488c7e8ff325a0d2a3b530df1f28,88.51,74.7119,60.0463,82.9956,78.18,69.7396,cat
d8f4918a3eac9f81e98df64cc3109468,91.8482,82.6001,78.7699,42.9412,47.6161,52.1102,cat
32daea18fa4e880f33877d211e2b7dd0,152.9858,130.3138,108.3094,65.6202,69.2394,74.7216,cat
947784c7e301d334f5a521e067cf2a57,168.1757,164.9358,146.2527,60.2769,67.5818,72.4677,cat
7e99a3f2a891f3c8acd132db712122d8,57.5675,51.8734,47.6109,55.0843,48.5835,46.2831,cat
6d45dd2db55145a56c9b3245c3256838,88.206,66.7389,63.1457,79.4724,71.2783,60.9401,cat
cea6ec894564bd58bd99f49b5376427d,61.208,89.7919,122.9678,26.857,36.5637,57.9934,cat
93e77fa0e6e77bac110e6eebcc4d3ced,147.7793,127.2792,107.0675,67.6616,73.0447,81.6917,cat
48bf70a4445e128f1ff49f60ff93e06e,125.0096,122.6404,119.9016,69.3266,68.4382,71.3869,cat
78d3d89c043c1238d6ff5b666181f8c9,64.5244,58.4221,56.333,47.0502,51.9577,53.2149,cat
fbc243ba378167fb29702c690576c2ad,139.9889,141.9465,132.2849,78.0829,81.8646,84.5163,cat
4186e49bf623aae2affd710b7c72fd2d,122.3077,93.159,74.4759,46.6621,52.0789,53.0067,cat
4d5cb8cb2e01b2a1d7875e9ec9bfd686,136.1263,135.6739,133.292,65.2177,66.1033,67.149,cat
79726cbd4190e1eabb38f1041241e8d5,90.3232,94.8852,97.1659,42.0899,45.3984,52.3273,cat
0c55075dbdf9e8f250411ef54b37b4ed,126.7954,116.3905,112.6677,63.9893,64.306,64.0242,cat
f9d2fea7861002f22ecffeec050b7ce2,107.1381,99.4994,88.05,47.411,53.857,57.2315,cat
232f26759208f5555cb58392c4e2bb87,120.3746,148.7891,173.3739,29.7166,37.3882,54.237,cat
6c9e5e22a191216ccaa15a85b0cb9595,149.4868,158.1859,157.5693,66.6689,73.9905,81.1212,cat
2502e1ea8488f347fe80adac88eb2075,105.5741,96.1073,83.2724,57.8511,59.4692,63.2439,cat
1a188e38023e0308754873c1fe26b809,141.3834,128.5288,127.7486,44.0217,51.8414,48.9136,cat
de9f8dd6f4eb58b02a56cd559d55ac58,117.1275,134.1892,178.4407,57.0896,58.857,68.6071,cat
8d15a9d0a85dcd0dff9a789b6763839d,115.1849,112.5644,115.3446,63.5356,61.3319,57.7398,cat
dbc98ffb7814e4aa6fe46b8608ccff0b,130.1778,129.7115,128.2246,65.9419,60.98,63.183,cat
68dadd486f9261d5069fbc0f27153f92,153.0778,146.4436,132.3215,51.0777,56.0046,59.1381,cat
307f36efff5f3bf4607faf722d96a489,58.9492,76.7526,62.323,69.5532,48.4726,38.3182,cat
6c0904482575c4c05cfb61dc4bdc5929,155.6644,152.1561,134.7033,45.0616,50.9727,54.8081,cat
30102654da2657a3011cdb2859331b4e,96.8018,79.1111,65.2431,66.9051,54.9855,50.8592,cat
23a0b2ed0ca617254dd3e5577c5aaa8b,126.9557,90.3916,86.1563,37.524,47.1566,45.1043,cat
328a569fdd4eb5278e61fc1a48be2e0f,199.5399,204.1783,202.3489,41.2691,46.1723,50.5312,cat
6298fb87a044e97aafaeef53f52a0b84,63.9854,65.5672,60.6527,62.47,63.4011,62.9639,cat
51fe5ca3a63e97e8ac4847b7cd91845e,144.3866,139.599,143.8176,63.6486,52.6572,46.2613,cat
7ee3e52b093b9e1f4f3fa26531db4915,167.6906,142.1075,95.3896,49.4896,51.3498,55.2208,cat
71557114a9ab2e1dedc34d129c1b6af1,123.4348,112.8903,98.5565,59.8214,60.2413,59.2695,cat
4c1c962d933fd9697bbe5d5129c939e9,59.412,55.8502,50.8156,72.2979,72.329,70.9752,cat
a4f71c63ca6a673f73bf20888dca76b3,143.3964,102.2296,130.4892,38.6806,32.635,40.0718,cat
af20d9dbd0fe322e363e7fe161b7c31e,164.4072,163.278,158.9355,95.9948,97.5235,95.8205,cat
4072582f91ff8520363dd6f2e2bf8c04,111.9351,99.7054,90.933,55.9048,56.7439,56.247,cat
9eae72f7fb3ba2948f86d9f190121b12,173.8222,143.4214,110.865,50.2828,51.7138,49.5319,cat
f2c0fe7cf471dec2f6fbdf21529f4c0f,164.8378,143.2148,131.9386,67.1437,70.017,59.0683,cat
688401c330be1b38e5cefad30f831c89,139.668,133.2826,123.3613,72.5601,69.6747,68.3429,cat
670db5ed923dfd92e1a7822257e4375d,139.6162,127.5736,109.6991,71.6742,76.9172,84.7652,cat
100959faf9a6dc8215c14ff763ec748a,93.6561,91.3504,91.4137,82.1573,82.6206,81.7382,cat
e85d4928da6e94c5e2d1943a914fbc07,93.375,76.905,57.2368,77.8153,73.4831,66.6334,cat
0b0c8b500ab5084c1ae85f971665c64f,144.8773,125.5931,120.7391,58.4112,70.2228,86.2299,cat
e24522dcff65bb059e6615fbb26b4620,137.2978,115.6898,105.1104,71.5739,68.6449,68.0972,cat
f880653127c954cdc2d00aa664fd8980,92.3623,89.5463,85.6559,67.1454,65.4806,63.3875,cat
0f93ffd0209b8b56f2da66f6f04bb3ba,82.0289,75.5627,74.3757,74.5171,71.3001,74.3154,cat
d71eb96c3186aa636f8183f70c717f53,185.3425,169.1838,161.9053,45.9634,52.462,56.4442,cat
d01bfed703ac27890916b833ace2df78,127.5318,130.9656,123.6995,57.9155,61.1675,62.6237,cat
886e52737d1feb7bc4e03eeb98b6947e,196.9728,191.0192,193.2892,64.2512,70.2924,69.1733,cat
5184c92ffd5cc38411131830564a02c5,117.5473,115.0098,91.8073,73.359,73.1133,67.2427,cat
2bda5818d2b78bc29cb5b8b96f3a7820,147.1742,119.2614,88.8784,35.3573,40.9552,46.7309,cat
9342f7267610c642fd60a77bf3365fe3,139.1535,132.4622,129.5684,64.563,63.5964,66.9449,cat
678e6524ce2b99116619d4419bd86e92,155.2146,145.19,141.5918,61.9883,68.8068,79.3063,cat
b2bd84234bf158f225ed870864eb65fb,99.2038,82.3299,80.0958,78.2811,80.5145,74.9254,cat
77a87f02e55feb83519043af27ac490b,131.4968,90.0211,64.9833,92.0723,78.8195,65.9492,cat
ba55b913052f6ee29a4c186e76bf2728,217.1826,149.276,63.3473,60.4412,47.2825,55.4815,cat
f83413f30df41f827ea71085b217643d,95.5336,83.5097,83.5387,50.7143,44.8519,39.106,cat
9a6855d204442f4dc4c87a7679d378d4,132.2785,135.8807,131.3349,63.4021,61.3745,58.5234,cat
6e0ee9d2bdda555a8ec3d8811879e774,192.6909,181.3827,195.8372,73.4174,71.4889,67.2279,cat
2135de65cbe23aa6da38a45e80b50f4d,173.2883,122.6843,105.9913,41.8284,35.5423,32.8687,cat
6300695ba7a629863180b8ed41f87065,213.2034,209.5765,208.1564,34.4977,36.7249,38.6253,cat
8d5da278b3687e1d77a820196c9ccd2e,114.4776,110.4237,103.4563,69.5659,73.094,72.1938,cat
59aecd40851550630c45fb0d2c42ae3e,128.0724,132.3566,131.6785,75.9249,74.0562,75.0493,cat
0a1987c63342e5a34544695d703301e5,61.3872,53.4361,53.7107,53.4613,49.9306,48.6035,cat
b2d10953e8a9845f866b0fdc7c134789,156.1431,159.9966,162.4646,65.9676,71.4929,76.3286,cat
df46fae39547b190cd4e1f87222603ae,103.4641,103.6365,51.5717,49.5924,54.3256,52.6906,cat
ac490b8edba6af0c5b59c51583f4a136,154.3156,150.7001,129.923,38.0803,41.0598,42.9915,cat
8c52a032872bb5d1313db98a0a62e299,168.6308,143.1458,108.9919,46.3667,41.7794,41.3819,cat
c2043f7cda1c1a22428ef5a501c7db77,137.0084,103.3125,92.0509,61.2285,59.8085,62.2269,cat
792ca1a907eb318ca1e2c400dfb417bd,86.1696,82.4385,84.4688,66.3035,57.7336,52.3305,cat
4a43be7ecb7934d07920681506ecd5d7,205.1495,201.4139,196.1416,39.5523,45.1392,48.7852,cat
1f074da7940955aa5bca1f7aa7d7e821,124.7765,112.7768,96.9183,74.1078,61.078,53.195,cat
75d8fca9f95fe841c0598f78d185da10,109.2173,80.6644,54.9563,62.1672,49.7883,38.2358,cat
7e6f781760cf560e4c1790a84c603e49,116.5091,117.6098,126.0232,83.2822,87.3927,86.744,cat
93d1d23ba9b9350f362398053abfda17,124.2205,124.1333,121.4484,27.4641,29.0813,32.8513,cat
1faf7d0b698a6e789560edf3eb942e1e,83.1762,67.8558,47.6312,67.1133,60.9932,54.6037,cat
406273d00898cbe125398cbee14b7e75,112.9853,120.9486,137.5357,92.6177,82.5293,64.1254,cat
824dcb47ea75d37f16186173bff7bbf1,92.5469,85.9389,84.6265,84.1825,79.2281,82.1786,cat
31f5db5555c68a3cb368bc1e5d2a0430,202.8808,187.4187,177.3515,56.6213,69.0448,79.8588,cat
78dc28ef1b4c0c7b44ba571942236f13,74.2116,74.8732,69.6309,80.4807,80.2154,80.387,cat
583540b6cf085e6985b6e14c6b1136b5,63.144,78.8035,32.0046,36.6111,41.0032,31.8744,cat
ca3d7f6b4b8652b6b653d73be240b331,55.8105,43.2415,33.3866,38.2328,31.9501,26.0681,cat
5cb98a246c9644e67aab285c859fa9bb,170.5063,138.5441,124.5895,58.9579,63.4386,69.4484,cat
